TITLE,URL,ARCHIVE,SUBJECT,SENDER/RECEIVER,YEAR,POSITION
徐寿朋、周馥致盛宣怀转刘坤一电,https://sd.library.sh.cn/sd/service/work/list#uri=http://data.library.sh.cn/sd/resource/work/y4twi4otm645h9ml&dataType=2,SD003483,庚子赔款,周馥 徐寿朋 ,1901,直隶布政使
周馥、徐寿朋致盛宣怀电,https://sd.library.sh.cn/sd/service/work/list#uri=http://data.library.sh.cn/sd/resource/work/okkaz1ae4zph8h2h&dataType=2,SD045830,京师 赔补 铁路,周馥 徐寿朋,1901,直隶布政使
周馥、杨士骧致盛宣怀电,https://sd.library.sh.cn/sd/service/work/list#uri=http://data.library.sh.cn/sd/resource/work/m2s1jxbef6xyjwhj&dataType=2,SD057655-1,余寿平 张楚宝 捐赈 洪翰香,周馥 杨士骧,1901,直隶布政使
周馥、杨士骧致盛宣怀电,https://sd.library.sh.cn/sd/service/work/list#uri=http://data.library.sh.cn/sd/resource/work/5zjcuesdyi97uwc8&dataType=2,SD057655-9,捐赈 监照 贡照,周馥 杨士骧,1901,直隶布政使
禄裕致周馥、盛宣怀电,https://sd.library.sh.cn/sd/service/work/list#uri=http://data.library.sh.cn/sd/resource/work/hl6j87cgn78rc7wj&dataType=2,SD057636-95,中日甲午战争 义州 九连城 军械 凤凰城,周馥 禄裕,1894,直隶按察使
周馥、善联致盛宣怀电,https://sd.library.sh.cn/sd/service/work/list#uri=http://data.library.sh.cn/sd/resource/work/operhpsqswwyo359&dataType=2,SD057639-286,摩天岭 旅顺 李鸿章 粮食,周馥 善联 ,1894,直隶按察使
周馥、善联致盛宣怀电,https://sd.library.sh.cn/sd/service/work/list#uri=http://data.library.sh.cn/sd/resource/work/c7h3fltjlwmo863d&dataType=2,SD057639-299,中日甲午战争 天津府 营口厅 蒋尚钧 裕禄,周馥 善联 ,1894,直隶按察使
章高元、周馥致盛宣怀电,https://sd.library.sh.cn/sd/service/work/list#uri=http://data.library.sh.cn/sd/resource/work/s6498pu6nscqa5jo&dataType=2,SD057640-100,中日甲午战争 财务 采办 骡,周馥 章高元,1894,直隶按察使
蒋希夷、周馥致盛宣怀电,https://sd.library.sh.cn/sd/service/work/list#uri=http://data.library.sh.cn/sd/resource/work/ess2v9z2rewgt31o&dataType=2,SD057640-97,中日甲午战争 李鸿章 枪 采办,周馥 蒋希夷,1894,直隶按察使
章高元、周馥致盛宣怀电,https://sd.library.sh.cn/sd/service/work/list#uri=http://data.library.sh.cn/sd/resource/work/u5cymbpdl132txn2&dataType=2,SD057640-98,中日甲午战争 公务 枪,周馥 章高元,1894,直隶按察使
孙宝琦致盛宣怀电,https://sd.library.sh.cn/sd/service/work/list#uri=http://data.library.sh.cn/sd/resource/work/f2a11qc3wuw2pnag&dataType=2,SD087967-2,上海 家族事务 王钰孙 盛宣怀,孙宝琦 ,宣统年间,
孙宝琦致盛宣怀电,https://sd.library.sh.cn/sd/service/work/list#uri=http://data.library.sh.cn/sd/resource/work/lfvcci3vdgq2qyk8&dataType=2,SD087967-3,上海 家族事务,孙宝琦 ,宣统年间,
岑春蓂致盛宣怀电,https://sd.library.sh.cn/sd/service/work/list#uri=http://data.library.sh.cn/sd/resource/work/vkc622eny32hqune&dataType=2,SD112071,《李文忠公全集》 图书 李鸿章 湖南 采办,岑春蓂 ,宣统年间,
赵尔巽致盛宣怀电,https://sd.library.sh.cn/sd/service/work/list#uri=http://data.library.sh.cn/sd/resource/work/yn3edb2owts9o72e&dataType=2,SD112081,《李文忠公全集》 四川 图书 采办, 赵尔巽,宣统年间,
陈夔龙致盛宣怀电,https://sd.library.sh.cn/sd/service/work/list#uri=http://data.library.sh.cn/sd/resource/work/e34ym34c7s114mjf&dataType=2,SD113131,湖北 灾害 社交 赈济, 陈夔龙,宣统年间,
